sample_location,ufn,species,survey_date,site_id,lat,lon,standard_length,fork_length,weight,date_processed,stock_1,prob_1,stock_2,prob_2,stock_3,prob_3,container_id,comments_sample,comments_fish_health_lab,comments_protocol
BRN15-A12,U1425,SO,2016-05-28,J02,50.60125,-126.704457,NA,99,8.5,2016-07-07,Chilko,0.87,Quesnel_Horsef,0.05,Tachie,0.03,BRN15,NA,NA,Correct location of otolith sample unverified due to duplicates in data entry
BRN15-B12,U1426,SO,2016-05-28,J02,50.60125,-126.704457,NA,100,8.9,2016-07-07,L_Shuswap,0.98,MiddleShuswap,0.01,L_Adams,0,BRN15,NA,NA,NA
BRN15-C12,U1427,SO,2016-05-28,J02,50.60125,-126.704457,NA,107,10.3,2016-07-07,Gates_Cr,1,NA,NA,NA,NA,BRN15,Outside scalpel touched heart & spleen,NA,Cut too deep to open inside cavity. cut heart and spleen accidentaly with outside scalpel. possible contamination.
BRN15-A7,U1514,SO,2016-06-02,J10,50.477038,-126.028566,NA,104,7.7,2016-07-12,Chilko,0.74,L_Adams,0.13,Chilko_south,0.11,BRN15,NA,NA,1 otolith broke
BRN15-B7,U1515,SO,2016-06-07,D22,50.242671,-125.398265,NA,109,9,2016-07-12,L_Adams,0.61,L_Shuswap,0.23,Little,0.13,BRN15,NA,NA,NA
BRN15-C7,U1516,SO,2016-06-07,D22,50.242671,-125.398265,NA,98,9.5,2016-07-12,L_Shuswap,1,NA,NA,NA,NA,BRN15,NA,NA,NA
BRN15-D7,U1517,SO,2016-06-07,D22,50.242671,-125.398265,NA,104,9,2016-07-12,Scotch,0.99,Seymour,0.01,L_Shuswap,0,BRN15,NA,NA,NA
BRN15-E7,U1518,SO,2016-06-07,D22,50.242671,-125.398265,NA,111,11.2,2016-07-12,Chilko-North,0.72,Chilko,0.11,L_Adams,0.08,BRN15,NA,NA,NA
BRN15-F7,U1519,SO,2016-06-07,D22,50.242671,-125.398265,NA,110,10.7,2016-07-12,L_Shuswap,0.99,L_Adams,0.01,Little,0,BRN15,NA,NA,NA
BRN15-G7,U1520,SO,2016-06-07,D22,50.242671,-125.398265,NA,85,6.5,2016-07-12,L_Shuswap,0.95,L_Adams,0.04,Little,0,BRN15,NA,NA,NA
