ufn,seine_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,analysis_planned,dissection_status,lice_qc_flag,qc_comments,survey_date,site_id,region,cal_cope_field,lep_cope_field,chal_a_field,chal_b_field,cal_mot_field,cm_field,cpaf_field,caf_field,cgf_field,lpam_field,lpaf_field,lam_field,laf_field,lgf_field,unid_cope_field,unid_chal_field,chal_scar,mot_scar,pred_scar,hemorrhaging,eroded_gill_plate,grazed_gill_plate,mate_guarding,pinched_belly,comments_fish_health_field,licing_protocol_field,qc_flag,flag_reason
U16441,DE506N1,PI,P1045,NA,NA,73,13,3.4,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16442,DE506N1,PI,P1045,NA,NA,77,13,3.4,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16443,DE506N1,PI,P1045,NA,NA,68,12,2.2,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16444,DE506N1,PI,P1045,NA,NA,60,9,1.6,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16445,DE506N1,PI,P1045,NA,NA,76,14,3.8,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16446,DE506N1,PI,P1045,NA,NA,74,13,3,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16447,DE506N1,PI,P1045,NA,NA,79,15,4,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16448,DE506N1,PI,P1045,NA,NA,68,13,2.2,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16449,DE506N1,PI,P1045,NA,NA,65,12,2.1,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16450,DE506N1,PI,P1045,NA,NA,55,10,1.4,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16431,DE506N1,CU,P1044,NA,NA,80,16,5,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16432,DE506N1,CU,P1044,NA,NA,80,15,4.2,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16433,DE506N1,CU,P1044,NA,NA,74,14,3.4,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16434,DE506N1,CU,P1044,NA,NA,74,12,3.8,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16435,DE506N1,CU,P1044,NA,NA,98,21,9.8,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16436,DE506N1,CU,P1044,NA,NA,76,14,4.1,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16437,DE506N1,CU,P1044,NA,NA,79,16,4.1,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16438,DE506N1,CU,P1044,NA,NA,69,13,2.8,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16439,DE506N1,CU,P1044,NA,NA,63,12,2.2,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16440,DE506N1,CU,P1044,NA,NA,76,13,4.4,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16421,DE506N1,CO,P1043,NA,NA,110,24,14.6,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16422,DE506N1,CO,P1043,NA,NA,102,25,10.7,SEMSP,not dissected,NA,NA,2018-05-14,D07,DI,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16491,DE510N1,CU,P1050,NA,NA,109,21,12,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16492,DE510N1,CU,P1050,NA,NA,102,19,10.9,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16493,DE510N1,CU,P1050,NA,NA,97,18,9.2,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16494,DE510N1,CU,P1050,NA,NA,101,19,10.7,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16495,DE510N1,CU,P1050,NA,NA,91,16,6.9,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16496,DE510N1,CU,P1050,NA,NA,88,18,6.9,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16497,DE510N1,CU,P1050,NA,NA,84,18,6.6,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16498,DE510N1,CU,P1050,NA,NA,90,16,6,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16499,DE510N1,CU,P1050,NA,NA,95,18,7,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16500,DE510N1,CU,P1050,NA,NA,89,17,7,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16051,DE510N1,PI,P1006,NA,NA,80,14,4.1,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16052,DE510N1,PI,P1006,NA,NA,82,16,5.5,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16053,DE510N1,PI,P1006,NA,NA,79,14,4.6,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16054,DE510N1,PI,P1006,NA,NA,78,14,4.9,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16055,DE510N1,PI,P1006,NA,NA,74,13,4,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16056,DE510N1,PI,P1006,NA,NA,77,15,3.7,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16057,DE510N1,PI,P1006,NA,NA,81,14,3.9,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16058,DE510N1,PI,P1006,NA,NA,74,13,3.6,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16059,DE510N1,PI,P1006,NA,NA,83,14,3.9,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16060,DE510N1,PI,P1006,NA,NA,74,13,3.6,SEMSP,not dissected,NA,NA,2018-05-15,D09,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16001,DE516N2,PI,P1001,NA,NA,78,14,4.6,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16002,DE516N2,PI,P1001,NA,NA,84,16,5,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16003,DE516N2,PI,P1001,NA,NA,71,12,3.3,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16004,DE516N2,PI,P1001,NA,NA,73,13,3.6,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
U16005,DE516N2,PI,P1001,NA,NA,81,14,4,SEMSP,not dissected,NA,NA,2018-05-17,D08,DI,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,salmoncoast_motiles,NA,NA
