package_id,seine_id,pkg_species,number_of_fish,field_liced_status,pkg_time_out,pkg_time_dewar,pkg_preservation_status,pkg_location,freezer_type,freezer_number,freezer_shelf,freezer_section,pkg_comments
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
DP503,NA,CU,10,N,NA,NA,1,Quadra Prep Lab,-20,3,2,L-M,Trainer fish
