"sampleID"	"barcode"	"name"	"description"	"note"	"quantity"	"expiration"	"created"	"Storage"	"storageLayerName"	"Storage Position"	"storageLayerID"	"fullName"	"clonedFrom"	"clonedFromSampleID"	"Sample Status"	"Species"
"7166940"	"S22044SL1"	"S22044SL1"	""	""	""	""	"2019-06-28 23:28"	"Prep -80 Freezer #3 - Shelf 2 - Sea Lice Samples to Tianyi"	"BSL5"	"14"	"570632"	"elab JSP"	""	""	"Collected"	"Pooled"
"7166942"	"S22045SL1"	"S22045SL1"	""	""	""	""	"2019-06-28 23:28"	"Prep -80 Freezer #3 - Shelf 2 - Sea Lice Samples to Tianyi"	"BSL5"	"13"	"570632"	"elab JSP"	""	""	"Collected"	"Pooled"
"7166943"	"S22041SL1"	"S22041SL1"	""	""	""	""	"2019-06-28 23:28"	"Prep -80 Freezer #3 - Shelf 2 - Sea Lice Samples to Tianyi"	"BSL5"	"15"	"570632"	"elab JSP"	""	""	"Collected"	"Pooled"
"7166945"	"S22050SL1"	"S22050SL1"	""	""	""	""	"2019-06-28 23:28"	"Prep -80 Freezer #3 - Shelf 2 - Sea Lice Samples to Tianyi"	"BSL5"	"19"	"570632"	"elab JSP"	""	""	"Collected"	"Pooled"
"7166946"	"S22047SL1"	"S22047SL1"	""	""	""	""	"2019-06-28 23:28"	"Prep -80 Freezer #3 - Shelf 2 - Sea Lice Samples to Tianyi"	"BSL5"	"18"	"570632"	"elab JSP"	""	""	"Collected"	"Pooled"
"7166948"	"S22048SL1"	"S22048SL1"	""	""	""	""	"2019-06-28 23:28"	"Prep -80 Freezer #3 - Shelf 2 - Sea Lice Samples to Tianyi"	"BSL5"	"20"	"570632"	"elab JSP"	""	""	"Collected"	"Pooled"
"7166949"	"S22043SL1"	"S22043SL1"	""	""	""	""	"2019-06-28 23:28"	"Prep -80 Freezer #3 - Shelf 2 - Sea Lice Samples to Tianyi"	"BSL5"	"21"	"570632"	"elab JSP"	""	""	"Collected"	"Pooled"
"7166951"	"S22049SL1"	"S22049SL1"	""	""	""	""	"2019-06-28 23:28"	"Prep -80 Freezer #3 - Shelf 2 - Sea Lice Samples to Tianyi"	"BSL5"	"27"	"570632"	"elab JSP"	""	""	"Collected"	"Pooled"
"7166952"	"S22046SL1"	"S22046SL1"	""	""	""	""	"2019-06-28 23:28"	"Prep -80 Freezer #3 - Shelf 2 - Sea Lice Samples to Tianyi"	"BSL5"	"24"	"570632"	"elab JSP"	""	""	"Collected"	"Pooled"
"7189628"	"S22017SL1"	"S22017SL1"	""	""	""	""	"2019-07-05 00:20"	"Prep -80 Freezer #3 - Shelf 2 - Sea Lice Samples to Tianyi"	"BSL5"	"41"	"570632"	"elab JSP"	""	""	"Collected"	"Pooled"
