project,action,date,work_area,jsp_survey_id,gather_lat,gather_long,set_time,survey,site_id,pk,seine_id,set_number,set_type,time_searching,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,collection_protocol,seine_notes
SEMSP,NA,2015-05-20,QUADRA,DE112,-125.3293,50.30787,08:00:00,DI_C,D09,15,DE112N1,1,TARGETED,NA,NA,NA,NA,TRUE,30,200,0,0,10,30,1,1,10,30,NA,NA,1,SEMSP,NA
SEMSP,NA,2015-05-24,QUADRA,DE121,-125.33345,50.30723,12:10:00,DI_C,D09,23,DE121N1,1,TARGETED,47,NA,NA,NA,TRUE,30,200,2,2,4,4,0,0,1,1,NA,NA,1,SEMSP,NA
SEMSP,NA,2015-05-26,QUADRA,DE130,-125.32452,50.30795,12:29:00,DI_C,D09,30,DE130N1,1,TARGETED,11,NA,NA,NA,TRUE,30,40,0,0,10,10,0,0,0,0,NA,NA,1,SEMSP,NA
SEMSP,NA,2015-05-28,QUADRA,DE139,-125.32275,50.308839999999996,11:10:00,DI_C,D09,33,DE139N1,1,TARGETED,10,NA,NA,NA,TRUE,30,200,0,0,10,10,0,0,3,3,NA,NA,1,SEMSP,NA
SEMSP,NA,2015-06-01,QUADRA,DE151,-125.33058,50.30492,12:53:00,DI_C,D09,43,DE151N1,1,TARGETED,5,NA,NA,NA,TRUE,30,500,0,0,10,100,0,0,3,4,NA,NA,1,SEMSP,NA
SEMSP,NA,2015-06-03,QUADRA,DE154,-125.32969,50.30759,13:11:00,DI_C,D09,49,DE154N1,1,TARGETED,20,NA,NA,NA,TRUE,30,40,1,1,10,40,0,0,7,7,NA,NA,1,SEMSP,NA
SEMSP,NA,2015-06-05,QUADRA,DE162,-125.32864,50.30771,10:59:00,DI_C,D09,54,DE162N1,1,TARGETED,15,NA,NA,NA,TRUE,30,100,0,0,10,200,1,4,1,1,NA,NA,1,SEMSP,NA
SEMSP,NA,2015-06-09,QUADRA,DE170,NA,NA,NA,DI_C,D09,60,DE170N1,1,TARGETED,NA,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,1: No sockeye in set; did not enumerate
SEMSP,NA,2015-06-09,QUADRA,DE170,-125.33514,50.30734,06:34:00,DI_C,D09,61,DE170N2,2,TARGETED,30,NA,NA,NA,TRUE,27,27,1,1,10,100,0,0,3,3,NA,NA,1,SEMSP,1: Net collapse first set
SEMSP,NA,2015-06-11,QUADRA,DE174,-125.32972,50.30806,09:20:00,DI_C,D09,65,DE174N1,1,TARGETED,3,NA,NA,NA,TRUE,30,100,1,1,10,100,0,0,5,5,NA,NA,1,SEMSP,1: Samples marked D09(2). Initial set removed due to potential bias from snag on bottom.
