"","hakai_id","fork_length","comments"
"1","U16798",93,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"2","U16795",89,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"3","U16791",89,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"4","U16703",95,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"5","U16893",127,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"6","U16922",95,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"7","U16923",98,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"8","U17195",111,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"9","U16996",99,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"10","U16999",105,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"11","U16991",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"12","U16995",106,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"13","U17263",111,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"14","U17268",127,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"15","U17231",119,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"16","U16513",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"17","U16514",107,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"18","U16515",102,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"19","U16519",101,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"20","U16520",106,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"21","U16971",95,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"22","U16972",100,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"23","U16977",109,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"24","U16665",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"25","U16668",104,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"26","U16670",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"27","U16718",102,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"28","U16711",115,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"29","U16715",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"30","U16804",106,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"31","U16802",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"32","U17277",121,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"33","U17271",127,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"34","U16622",96,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"35","U16623",95,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"36","U4781",103,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"37","U4820",104,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"38","U4848",98,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"39","U4823",98,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"40","U4822",109,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"41","U4797",106,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"42","U4760",105,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"43","U4758",100,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"44","U5087",103,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"45","U5086",102,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"46","U5094",99,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"47","U5092",103,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"48","U4854",118,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"49","U4852",109,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"50","U5131",121,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"51","U5128",116,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"52","U5129",107,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"53","U5130",103,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"54","U5126",113,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"55","U4824",116,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"56","U4809",105,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"57","U4890",122,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"58","U4880",120,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"59","U4847",133,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"60","U4885",123,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"61","U4893",114,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"62","U5097",115,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"63","U5105",117,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"64","U5104",125,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"65","U5103",129,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"66","U5113",119,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"67","U5111",122,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"68","U5114",122,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"69","U5106",127,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"70","U4753",130,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"71","U4783",129,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"72","U4761",105,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"73","U4740",80,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"74","U4825",93,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"75","U4816",101,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"76","U4741",86,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"77","U2746",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"78","U2623",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"79","U2622",91,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"80","U2748",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"81","U2747",84,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"82","U2745",91,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"83","U2624",97,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"84","U2772",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"85","U2774",91,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"86","U2390",114,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"87","U2391",115,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"88","U2389",94,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"89","U2775",90,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"90","U2769",120,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"91","U2614",101,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"92","U2620",117,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"93","U4509",89,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"94","U4466",105,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"95","U4513",100,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"96","U4412",118,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"97","U4507",106,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"98","U4340",120,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
"99","U4373",114,"Fork length generated with species-specific linear regression model (2019-02-01 JG)"
